LAUS Code, State FIPS, County FIPS, County, State, Period, Labor Force, Employed, Unemployment Level, Unemployment Rate
CN2716700000000,27,167,Wilkin County, MN,Mar-17,3603,3458,145,4.0
CN2716700000000,27,167,Wilkin County, MN,Apr-17,3608,3511,97,2.7
CN2716700000000,27,167,Wilkin County, MN,May-17,3597,3503,94,2.6
CN2716700000000,27,167,Wilkin County, MN,Jun-17,3599,3480,119,3.3
CN2716700000000,27,167,Wilkin County, MN,Jul-17,3558,3444,114,3.2
CN2716700000000,27,167,Wilkin County, MN,Aug-17,3437,3326,111,3.2
CN2716700000000,27,167,Wilkin County, MN,Sep-17,3472,3388,84,2.4
CN2716700000000,27,167,Wilkin County, MN,Oct-17,3649,3583,66,1.8
CN2716700000000,27,167,Wilkin County, MN,Nov-17,3570,3497,73,2.0
CN2716700000000,27,167,Wilkin County, MN,Dec-17,3559,3446,113,3.2
CN2716700000000,27,167,Wilkin County, MN,Jan-18,3513,3369,144,4.1
CN2716700000000,27,167,Wilkin County, MN,Feb-18,3559,3408,151,4.2
CN2716700000000,27,167,Wilkin County, MN,Mar-18,3568,3430,138,3.9
CN2716700000000,27,167,Wilkin County, MN,Apr-18(p),3604,3488,116,3.2
CN3912700000000,39,127,Perry County, OH,Mar-17,16197,15072,1125,6.9
CN3912700000000,39,127,Perry County, OH,Apr-17,16022,15126,896,5.6
CN3912700000000,39,127,Perry County, OH,May-17,16020,15205,815,5.1
CN3912700000000,39,127,Perry County, OH,Jun-17,16176,15274,902,5.6
CN3912700000000,39,127,Perry County, OH,Jul-17,16278,15352,926,5.7
CN3912700000000,39,127,Perry County, OH,Aug-17,16263,15371,892,5.5
CN3912700000000,39,127,Perry County, OH,Sep-17,16056,15247,809,5.0
CN3912700000000,39,127,Perry County, OH,Oct-17,16047,15245,802,5.0
CN3912700000000,39,127,Perry County, OH,Nov-17,16124,15242,882,5.5
CN3912700000000,39,127,Perry County, OH,Dec-17,16150,15209,941,5.8
CN3912700000000,39,127,Perry County, OH,Jan-18,16035,14909,1126,7.0
CN3912700000000,39,127,Perry County, OH,Feb-18,16225,15186,1039,6.4
CN3912700000000,39,127,Perry County, OH,Mar-18,16376,15421,955,5.8
CN3912700000000,39,127,Perry County, OH,Apr-18(p),16198,15373,825,5.1
CN1330700000000,13,307,Webster County, GA,Mar-17,983,911,72,7.3
CN1330700000000,13,307,Webster County, GA,Apr-17,975,902,73,7.5
