Job Title, Zip Code, Number of Jobs
2018-07-16,retail,"58258",378
2018-07-16,retail,"83214",121
2018-07-16,retail,"11256",28713
2018-07-16,retail,"85611",146
2018-07-16,retail,"07505",28655
2018-07-16,retail,"37886",3027
2018-07-16,retail,"35223",3136
2018-07-16,retail,"37620",1281
2018-07-16,retail,"59457",27
2018-07-16,retail,"32727",3277
2018-07-16,retail,"84412",1368
2018-07-16,retail,"14852",414
2018-07-16,retail,"12455",110
2018-07-16,retail,"16150",1866
2018-07-16,retail,"36688",1623
2018-07-16,retail,"62842",108
2018-07-16,retail,"60445",18236
2018-07-16,retail,"83215",5
2018-07-16,retail,"58257",23
2018-07-16,retail,"33927",874
2018-07-16,retail,"13654",136
2018-07-16,retail,"85610",6
2018-07-16,retail,"07506",27081
2018-07-16,retail,"37885",580
2018-07-16,retail,"35224",3075
2018-07-16,retail,"57059",100
2018-07-16,retail,"87176",2055
2018-07-16,retail,"36421",107
2018-07-16,retail,"38820",416
2018-07-16,retail,"12456",1023
2018-07-16,retail,"14851",428
2018-07-16,retail,"60444",653
2018-07-16,retail,"16151",664
2018-07-16,retail,"32726",3422
2018-07-16,retail,"62843",130
2018-07-16,retail,"33928",3750
2018-07-16,retail,"03809",954
2018-07-16,retail,"12457",539
2018-07-16,retail,"65340",117
2018-07-16,retail,"13655",104
2018-07-16,retail,"39182",115
2018-07-16,retail,"37888",592
2018-07-16,retail,"85613",156
2018-07-16,retail,"91761",11281
2018-07-16,retail,"31527",532
2018-07-16,retail,"84414",1368
2018-07-16,retail,"07507",28614
2018-07-16,retail,"39181",115
2018-07-16,retail,"14854",414
2018-07-16,retail,"40175",718
2018-07-16,retail,"32725",3178
2018-07-16,retail,"62844",223
2018-07-16,retail,"60443",12377
2018-07-16,retail,"30328",14938
2018-07-16,retail,"58259",8
2018-07-16,retail,"33929",3780
2018-07-16,retail,"12458",782
2018-07-16,retail,"37621",1282
2018-07-16,retail,"89570",2192
2018-07-16,retail,"39183",115
2018-07-16,retail,"37887",448
2018-07-16,retail,"35226",3122
2018-07-16,retail,"83217",10
2018-07-16,retail,"84415",1594
2018-07-16,retail,"30329",14448
2018-07-16,retail,"07508",26913
2018-07-16,retail,"59456",17
2018-07-16,retail,"87174",2162
2018-07-16,retail,"13656",335
2018-07-16,retail,"14853",423
2018-07-16,retail,"64141",7519
2018-07-16,retail,"60442",6265
2018-07-16,retail,"40176",218
2018-07-16,retail,"36689",1623
2018-07-16,retail,"10055",31432
2018-07-16,retail,"32724",2244
2018-07-16,retail,"85615",159
2018-07-16,retail,"40177",4184
2018-07-16,retail,"14856",234
2018-07-16,retail,"77328",1173
2018-07-16,retail,"12459",94
2018-07-16,retail,"07501",28642
2018-07-16,retail,"43772",362
2018-07-16,retail,"17352",3732
2018-07-16,retail,"37882",2266
2018-07-16,retail,"35485",636
2018-07-16,retail,"45070",4647
2018-07-16,retail,"11252",30559
2018-07-16,retail,"83218",423
2018-07-16,retail,"33922",2485
2018-07-16,retail,"78526",862
2018-07-16,retail,"54559",58
2018-07-16,retail,"60449",6327
2018-07-16,retail,"13657",337
2018-07-16,retail,"16154",1813
2018-07-16,retail,"34287",1130
2018-07-16,retail,"40178",108
2018-07-16,retail,"14855",204
2018-07-16,retail,"07502",28024
2018-07-16,retail,"17353",1618
2018-07-16,retail,"61641",1209
2018-07-16,retail,"43771",487
2018-07-16,retail,"45071",7919
2018-07-16,retail,"35486",645
2018-07-16,retail,"37881",539
2018-07-16,retail,"35220",3079
2018-07-16,retail,"11251",30078
2018-07-16,retail,"89310",1
2018-07-16,retail,"85614",338
2018-07-16,retail,"60448",10181
2018-07-16,retail,"54558",192
2018-07-16,retail,"13658",115
2018-07-16,retail,"39180",115
2018-07-16,retail,"82010",306
2018-07-16,retail,"16155",2127
2018-07-16,retail,"34288",1058
2018-07-16,retail,"88112",1
2018-07-16,retail,"81077",41
2018-07-16,retail,"85617",61
2018-07-16,retail,"14858",474
2018-07-16,retail,"35221",3074
2018-07-16,retail,"17350",2133
2018-07-16,retail,"33924",2149
2018-07-16,retail,"35487",645
2018-07-16,retail,"07503",29178
2018-07-16,retail,"60447",4891
2018-07-16,retail,"13659",372
2018-07-16,retail,"54557",68
2018-07-16,retail,"62840",725
2018-07-16,retail,"36420",95
2018-07-16,retail,"34289",1090
2018-07-16,retail,"80977",1692
2018-07-16,retail,"85616",173
2018-07-16,retail,"81076",27
2018-07-16,retail,"14857",563
2018-07-16,retail,"43773",364
2018-07-16,retail,"35222",3123
2018-07-16,retail,"07504",28912
2018-07-16,retail,"61643",1202
2018-07-16,retail,"26838",135
2018-07-16,retail,"32728",5897
2018-07-16,retail,"54556",15
2018-07-16,retail,"36685",1557
2018-07-16,retail,"16153",735
2018-07-16,retail,"60446",11629
2018-07-16,retail,"08701",4196
2018-07-16,retail,"62841",665
2018-07-16,retail,"91767",14016
2018-07-16,retail,"91501",20931
2018-07-16,retail,"28135",529
2018-07-16,retail,"38827",107
2018-07-16,retail,"03803",1879
2018-07-16,retail,"20742",15287
2018-07-16,retail,"07763",8361
2018-07-16,retail,"95461",932
2018-07-16,retail,"78522",973
2018-07-16,retail,"93064",8559
2018-07-16,retail,"52158",121
2018-07-16,retail,"90302",22926
2018-07-16,retail,"54555",36
2018-07-16,retail,"47471",504
2018-07-16,retail,"29334",3253
2018-07-16,retail,"43510",1308
2018-07-16,retail,"79721",125
2018-07-16,retail,"94263",5184
2018-07-16,retail,"36429",90
2018-07-16,retail,"91766",15526
2018-07-16,retail,"38828",467
2018-07-16,retail,"74827",132
2018-07-16,retail,"77325",10848
2018-07-16,retail,"28136",1120
2018-07-16,retail,"03802",1802
2018-07-16,retail,"44710",2593
2018-07-16,retail,"20741",15239
2018-07-16,retail,"07764",5687
2018-07-16,retail,"95462",1267
2018-07-16,retail,"93063",8513
2018-07-16,retail,"76124",16371
2018-07-16,retail,"52159",139
2018-07-16,retail,"78789",7699
2018-07-16,retail,"90303",23921
2018-07-16,retail,"78523",977
2018-07-16,retail,"41114",969
2018-07-16,retail,"47470",341
2018-07-16,retail,"54554",72
2018-07-16,retail,"29333",1869
2018-07-16,retail,"79720",120
2018-07-16,retail,"50859",65
2018-07-16,retail,"74826",217
2018-07-16,retail,"77326",196
2018-07-16,retail,"72429",103
2018-07-16,retail,"38825",304
2018-07-16,retail,"91769",14638
2018-07-16,retail,"91503",20951
2018-07-16,retail,"28137",1231
2018-07-16,retail,"07765",9101
2018-07-16,retail,"22041",14799
2018-07-16,retail,"03801",1901
2018-07-16,retail,"76123",7816
2018-07-16,retail,"20744",12501
2018-07-16,retail,"90304",22529
2018-07-16,retail,"76389",380
